hospital,pc,cost
"2254",N8633,0.01
"2254",N8632,0.01
"2254",N8736,0.01
"2254",N8602,0.02
"2254",N8631,0.03
"2254",N8772,0.03
"2254",N8651,0.04
"2254",N8773,0.04
"2254",N8618,0.04
"2254",N8601,0.04
"2254",N8603,0.04
"2254",N8608,0.04
"2254",N8737,0.05
"2254",N8617,0.05
"2254",N8626,0.05
"2254",N8628,0.05
"2254",N8771,0.06
"2254",N8614,0.06
"2254",N8629,0.06
"2254",N8741,0.06
"2254",N8607,0.06
"2254",N8642,0.06
"2254",N8605,0.07
"2254",N8604,0.07
"2254",N8616,0.07
"2254",N8774,0.07
"2254",N8606,0.08
"2254",N8625,0.08
"2254",N8615,0.08
"2254",N8702,0.08
"2254",N8623,0.09
"2254",N8627,0.1
"2254",N8701,0.1
"2254",N8647,0.1
"2254",N9014,0.1
"2254",N8644,0.11
"2254",N8624,0.11
"2254",N8745,0.12
"2254",N8759,0.12
"2254",N8744,0.12
"2254",N8528,0.12
"2254",N8525,0.12
"2254",N8765,0.12
"2254",N8622,0.13
"2254",N8511,0.13
"2254",N8526,0.13
"2254",N8658,0.14
"2254",N8743,0.14
"2254",N8635,0.14
"2254",N8637,0.14
"2254",N9022,0.14
"2254",N9021,0.14
"2254",N8764,0.14
"2254",N8542,0.15
"2254",N8512,0.15
"2254",N8613,0.15
"2254",N8748,0.15
"2254",N8822,0.15
"2254",N8746,0.15
"2254",N8758,0.15
"2254",N8552,0.15
"2254",N9013,0.16
"2254",N8503,0.16
"2254",N9012,0.16
"2254",N8823,0.16
"2254",N8505,0.16
"2254",N8541,0.16
"2254",N8742,0.16
"2254",N8845,0.16
"2254",N8527,0.16
"2254",N8755,0.17
"2254",N8754,0.17
"2254",N8762,0.17
"2254",N8763,0.17
"2254",N8756,0.17
"2254",N8747,0.17
"2254",N8749,0.17
"2254",N8641,0.17
"2254",N8636,0.18
"2254",N8529,0.18
"2254",N8757,0.18
"2254",N8761,0.18
"2254",N8775,0.18
"2254",N9011,0.18
"2254",N9008,0.19
"2254",N8731,0.19
"2254",N8735,0.19
"2254",N8834,0.19
